activity_id,lat,lon,altitude,velocity,distance,heartrate
19334880487,48.741955,2.29678,65.3,2.155,208.7,
19334880487,48.741963,2.296815,65.2,2.7,211.4,
19334880487,48.741968,2.296843,65.2,2.326,213.5,
19334880487,48.741974,2.296874,65.1,2.269,215.9,
19334880487,48.741981,2.296912,65.1,2.417,218.8,
19334880487,48.741986,2.296947,65.0,2.545,221.4,
19334880487,48.741992,2.296984,65.0,2.564,224.2,
19334880487,48.741998,2.297026,64.9,2.774,227.4,
19334880487,48.742005,2.29706,64.9,2.825,230.0,
19334880487,48.742014,2.297098,64.8,2.843,233.0,
19334880487,48.742026,2.297128,64.8,2.828,235.5,
19334880487,48.742045,2.297155,64.7,2.836,238.4,
19334880487,48.742064,2.297173,64.7,2.687,240.8,
19334880487,48.742083,2.297189,64.6,2.635,243.2,
19334880487,48.742109,2.297201,64.5,2.66,246.3,
19334880487,48.742141,2.2972,64.3,2.852,249.8,
19334880487,48.742165,2.297187,64.2,2.28,249.8,
19334880487,48.742188,2.297173,64.0,2.46,255.5,
19334880487,48.742222,2.297166,63.8,2.6,259.3,
19334880487,48.742249,2.29716,63.6,2.484,262.2,
19334880487,48.742268,2.297171,63.4,2.92,264.4,
19334880487,48.742286,2.297177,63.3,2.775,266.4,
19334880487,48.742307,2.297181,62.9,2.66,268.8,
19334880487,48.742327,2.297179,62.7,2.346,271.0,
19334880487,48.742348,2.297174,62.5,2.236,273.4,
19334880487,48.74237,2.297169,62.3,2.294,275.9,
19334880487,48.742391,2.29716,62.0,2.37,278.3,
19334880487,48.742413,2.297151,61.9,2.4,280.8,
19334880487,48.742437,2.297138,61.8,2.514,283.6,
19334880487,48.74246,2.297129,61.7,2.573,286.3,
19334880487,48.742486,2.297124,61.7,2.666,289.2,
19334880487,48.742507,2.297125,61.6,2.646,291.5,
19334880487,48.74253,2.297129,61.5,2.66,294.1,
19334880487,48.742555,2.297133,61.5,2.652,296.9,
19334880487,48.742579,2.297136,61.4,2.647,299.5,
19334880487,48.742604,2.297139,61.3,2.617,302.3,
19334880487,48.74263,2.297133,61.2,2.734,305.2,
19334880487,48.742648,2.297128,61.1,2.623,307.2,
19334880487,48.742672,2.297112,61.1,2.648,310.1,
19334880487,48.742696,2.297091,61.0,2.74,313.2,
19334880487,48.742712,2.297075,60.9,2.183,313.2,
19334880487,48.742726,2.297067,60.9,2.36,317.0,
19334880487,48.742747,2.297056,60.8,2.44,319.4,
19334880487,48.742765,2.297046,60.8,2.28,321.5,
19334880487,48.742782,2.297036,60.7,1.66,321.5,
19334880487,48.742796,2.297023,60.7,2.44,325.4,
19334880487,48.742808,2.296999,60.6,2.114,327.6,
19334880487,48.742822,2.296971,60.5,2.137,330.1,
19334880487,48.742839,2.29695,60.5,2.211,332.6,
19334880487,48.742858,2.296931,60.4,2.72,335.1,
19334880487,48.742896,2.296918,60.3,2.82,339.5,
19334880487,48.742924,2.296905,60.2,3.046,342.8,
19334880487,48.742947,2.296896,60.1,3.074,345.5,
19334880487,48.742967,2.296888,60.1,3.049,347.8,
19334880487,48.742988,2.296879,60.0,3.01,350.2,
19334880487,48.743009,2.29687,59.9,2.6,352.5,
19334880487,48.743027,2.296854,59.9,2.412,354.9,
19334880487,48.743048,2.296833,59.8,2.446,357.7,
19334880487,48.743071,2.296815,59.7,2.547,360.5,
19334880487,48.743095,2.296803,59.6,2.63,363.3,
19334880487,48.743121,2.29679,59.5,2.78,366.4,
19334880487,48.743148,2.296772,59.5,2.948,369.6,
19334880487,48.74317,2.296753,59.4,2.942,372.4,
19334880487,48.743189,2.296726,59.3,2.953,375.3,
19334880487,48.743215,2.29669,59.1,3.18,379.2,
19334880487,48.743232,2.296678,59.0,2.976,381.3,
19334880487,48.743247,2.29666,59.0,2.76,383.4,
19334880487,48.743263,2.29665,58.9,2.593,385.4,
19334880487,48.743279,2.296633,58.9,2.46,387.6,
19334880487,48.743289,2.296605,58.8,2.136,389.9,
19334880487,48.743295,2.296571,58.8,2.224,392.4,
19334880487,48.743309,2.296541,58.8,2.33,395.1,
19334880487,48.743335,2.296503,58.7,2.725,399.0,
19334880487,48.743349,2.296485,58.7,2.697,401.1,
19334880487,48.743368,2.296463,58.7,2.784,403.8,
19334880487,48.743387,2.296438,58.6,2.295,406.5,
19334880487,48.743394,2.296405,58.6,2.0,409.0,
19334880487,48.743378,2.296359,58.5,2.343,412.8,
19334880487,48.743404,2.296351,58.5,1.961,415.6,
19334880487,48.743417,2.296331,58.4,2.195,417.5,
19334880487,48.743417,2.296308,58.4,1.7,417.5,
19334880487,48.743415,2.296304,58.4,0.94,417.5,
19334880487,48.743415,2.296328,58.4,0.783,417.5,
19334880487,48.743423,2.296319,58.4,0.386,417.5,
19334880487,48.743428,2.296283,58.3,0.74,421.2,
19334880487,48.743427,2.296239,58.3,1.4,424.5,
19334880487,48.743437,2.296219,58.2,1.4,424.5,
19334880487,48.743454,2.296211,58.2,2.1,428.0,
19334880487,48.743473,2.296215,58.2,2.1,428.0,
19334880487,48.743483,2.296196,58.2,2.06,431.5,
19334880487,48.743482,2.296165,58.1,1.845,433.7,
19334880487,48.743461,2.296105,58.0,2.82,438.6,
19334880487,48.74342,2.296018,57.8,3.68,446.4,
19334880487,48.743348,2.2959,57.5,3.68,458.3,
19334880487,48.743294,2.295781,57.3,7.48,468.9,
19334880487,48.743282,2.295717,57.2,7.995,473.7,
19334880487,48.743278,2.295659,57.1,7.88,478.0,
19334880487,48.743274,2.29562,57.0,6.892,480.9,
19334880487,48.743269,2.29559,57.0,4.96,483.1,
19334880487,48.743258,2.295562,56.9,3.324,485.5,
19334880487,48.743249,2.295539,56.9,2.76,487.5,
19334880487,48.743232,2.295518,56.9,2.381,489.9,
19334880487,48.743206,2.295498,56.8,2.448,493.1,
19334880487,48.743186,2.295479,56.8,2.518,495.7,
19334880487,48.743172,2.295457,56.8,2.476,497.9,
19334880487,48.743167,2.29543,56.8,2.442,499.7,
19334880487,48.743197,2.295386,56.8,2.779,503.8,
19334880487,48.743279,2.295327,56.4,4.18,514.0,
19334880487,48.74337,2.295275,56.3,5.802,524.7,
19334880487,48.743398,2.295252,56.1,6.08,528.3,
19334880487,48.743427,2.295229,56.0,6.438,531.9,
19334880487,48.743438,2.295206,55.9,6.038,534.0,
19334880487,48.743448,2.295177,55.8,4.48,536.4,
19334880487,48.74346,2.295151,55.7,2.805,538.7,
19334880487,48.743485,2.295105,55.6,2.96,543.1,
19334880487,48.743506,2.295079,55.5,2.84,546.1,
19334880487,48.743528,2.295057,55.3,3.006,549.0,
19334880487,48.743551,2.295036,55.2,3.12,552.0,
19334880487,48.743575,2.295015,55.1,3.275,555.1,
19334880487,48.743601,2.294993,55.0,3.06,558.4,
19334880487,48.743625,2.294972,54.9,3.08,561.5,
19334880487,48.743647,2.294956,54.8,3.028,564.2,
19334880487,48.743671,2.294941,54.7,3.0,567.0,
19334880487,48.743695,2.294925,54.6,2.967,569.9,
19334880487,48.74372,2.294905,54.5,2.94,573.1,
19334880487,48.743744,2.294882,54.3,2.96,576.3,
19334880487,48.74377,2.294855,54.2,3.127,579.8,
19334880487,48.743793,2.294837,54.1,3.131,582.7,
19334880487,48.743829,2.294799,54.0,3.513,587.5,
19334880487,48.743857,2.29477,53.9,3.64,591.3,
19334880487,48.743883,2.294745,53.8,3.7,594.8,
19334880487,48.743909,2.294723,53.7,3.66,598.1,
